,,timestamp,Open,High,Low,Close,Volume,ema,sma,bb_high_indicator,bb_low_indicator
1618160400000.0,2021-04-11 17:00:00,59975.95,59405.18,59864.39,2132.313387,127273623.53925072,91480.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618156800000.0,2021-04-11 16:00:00,59785.37,59480.0,59569.4,1802.114348,107448787.4451012,92962.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618153200000.0,2021-04-11 15:00:00,59780.06,59558.0,59645.46,1515.938864,90482896.87478612,70629.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618149600000.0,2021-04-11 14:00:00,59664.98,59250.0,59570.77,1626.838611,96744798.0110868,60875.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618146000000.0,2021-04-11 13:00:00,59746.0,59232.52,59340.55,1816.723554,108057044.4004948,74619.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618142400000.0,2021-04-11 12:00:00,59844.0,59449.93,59724.45,1722.788442,102716178.57851624,81160.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618138800000.0,2021-04-11 11:00:00,59860.87,59450.0,59721.84,1669.713692,99650398.15923032,66292.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618135200000.0,2021-04-11 10:00:00,59950.81,59500.0,59599.99,1608.373258,95979106.599211,86408.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618131600000.0,2021-04-11 09:00:00,60045.0,59455.09,59676.2,1743.375163,104063652.04916412,92157.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618128000000.0,2021-04-11 08:00:00,60144.7,59655.49,59961.81,1433.554804,85922949.70346135,59577.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618124400000.0,2021-04-11 07:00:00,59790.15,59400.0,59655.49,1192.611866,71102991.40713176,49429.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618120800000.0,2021-04-11 06:00:00,59909.68,59339.83,59735.0,2046.862344,121993099.07957892,85807.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618117200000.0,2021-04-11 05:00:00,60012.05,59535.52,59679.97,2572.829914,153786143.65123278,97386.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,1.0,0.0
1618113600000.0,2021-04-11 04:00:00,60328.0,59777.77,59906.6,1697.500794,101982393.2266218,52781.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618110000000.0,2021-04-11 03:00:00,60699.0,60202.69,60268.58,1441.270928,87039438.32774864,49556.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618106400000.0,2021-04-11 02:00:00,60594.68,60262.53,60509.7,1210.228989,73086241.23858614,73024.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618102800000.0,2021-04-11 01:00:00,60600.0,60036.58,60594.67,1914.398174,115347140.11780912,66005.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618099200000.0,2021-04-11 00:00:00,60429.56,59544.94,60148.5,3267.635378,196487750.92872608,108019.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,1.0,0.0
1618095600000.0,2021-04-10 23:00:00,59842.63,59008.39,59769.13,1807.215923,107592009.02594703,68376.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618092000000.0,2021-04-10 22:00:00,59399.84,59013.79,59029.17,1603.625597,95014670.53806455,88752.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618088400000.0,2021-04-10 21:00:00,59256.36,58485.84,59161.03,2360.073159,139157715.35370165,95874.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618084800000.0,2021-04-10 20:00:00,59800.0,58374.61,58615.28,3793.833218,224204531.24434465,120539.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,1.0,0.0
1618081200000.0,2021-04-10 19:00:00,60020.01,59550.0,59567.38,1490.84532,89092181.66808148,58630.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618077600000.0,2021-04-10 18:00:00,60115.82,59572.64,60020.0,2460.215042,147234255.09705213,98379.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618074000000.0,2021-04-10 17:00:00,60265.0,59920.86,60100.48,2358.924027,141784730.95510405,104450.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
